CustomRef,CustomSystemId,CustomID,CaseRef,Custom_Type,Createdby,Createdate,Lastupdatedby,Lastupdatedon
"CU_LA_154","LA",154,"C_EGD_353","Lammas","LEM","08_01_02_09:28:16","LEM","08_01_02_09:28:18"
"CU_LA_155","LA",155,"C_EGD_273","Whitsunday","LEM","08_01_02_10:52:23","LEM","08_01_02_10:52:25"
"CU_LA_156","LA",156,"C_EGD_273","Michaelmas","LEM","08_01_02_10:52:31","LEM","08_01_02_10:52:52"
"CU_LA_157","LA",157,"C_EGD_1558","Lammas","LEM","08_22_02_10:49:34","LEM","08_22_02_10:49:35"
"CU_LA_158","LA",158,"C_EGD_1558","Yule","LEM","08_22_02_10:49:35","LEM","08_22_02_10:49:36"
"CU_LA_159","LA",159,"C_EGD_1558","Easter","LEM","08_22_02_10:49:38","LEM","08_22_02_10:49:51"
"CU_LA_16","LA",16,"C_EGD_364","Beltane","LEM","06_29_01_11:56:36","LEM","06_29_01_11:56:38"
"CU_LA_160","LA",160,"C_EGD_1558","Candlemas","LEM","08_22_02_10:50:27","LEM","08_22_02_10:50:29"
"CU_LA_161","LA",161,"C_EGD_597","Candlemas","LEM","08_28_02_11:29:12","LEM","08_28_02_11:29:23"
"CU_LA_167","LA",167,"C_EGD_597","Sabbath","LEM","11_11_02_11:56:41","LEM","11_11_02_11:56:45"
"CU_LA_168","LA",168,"C_EGD_170","St_Peter's_Day","LEM","11_18_02_16:45:21","LEM","11_18_02_16:45:28"
"CU_LA_17","LA",17,"C_LA_2781","Beltane","LEM","06_29_01_11:59:53","LEM","06_29_01_11:59:59"
"CU_LA_18","LA",18,"C_EGD_384","Martinmas","LEM","06_29_01_12:25:16","LEM","06_29_01_12:25:17"
"CU_LA_19","LA",19,"C_EGD_381","Whitsunday","LEM","06_29_01_12:51:17","LEM","06_29_01_12:51:25"
"CU_LA_2","LA",2,"C_EGD_162","Lammas","LEM","05_18_01_13:04:53","LEM","05_18_01_13:04:54"
"CU_LA_20","LA",20,"C_EGD_390","Whitsunday","LEM","07_02_01_09:33:34","LEM","07_02_01_09:33:35"
"CU_LA_21","LA",21,"C_EGD_391","Handsel_Monday","LEM","07_02_01_10:12:52","LEM","07_02_01_10:14:28"
"CU_LA_22","LA",22,"C_EGD_434","Fastings_eve","LEM","07_03_01_13:25:56","LEM","07_03_01_13:26:04"
"CU_LA_23","LA",23,"C_EGD_388","Candlemas","LEM","07_09_01_16:12:58","LEM","07_09_01_16:13:00"
"CU_LA_24","LA",24,"C_EGD_359","Candlemas","LEM","07_10_01_10:03:07","LEM","07_10_01_10:03:09"
"CU_LA_25","LA",25,"C_EGD_408","Lammas","LEM","07_10_01_10:38:28","LEM","07_10_01_10:38:30"
"CU_LA_26","LA",26,"C_EGD_408","Whitsunday","LEM","07_10_01_10:38:34","LEM","07_10_01_10:38:35"
"CU_LA_27","LA",27,"C_EGD_389","Fastings_eve","LEM","07_10_01_12:24:00","LEM","07_10_01_12:24:03"
"CU_LA_29","LA",29,"C_EGD_140","Halloween","LEM","09_25_01_17:03:09","LEM","09_25_01_17:03:16"
"CU_LA_3","LA",3,"C_EGD_162","Borrowing_days","LEM","05_18_01_13:04:57","LEM","05_18_01_13:05:02"
"CU_LA_30","LA",30,"C_EGD_140","Beltane","LEM","09_25_01_17:06:09","LEM","09_25_01_17:06:28"
"CU_LA_31","LA",31,"C_EGD_140","Whitsunday","LEM","10_01_01_10:32:20","LEM","10_01_01_10:32:21"
"CU_LA_38","LA",38,"C_EGD_39","Halloween","LEM","10_08_01_11:40:29","LEM","10_08_01_11:40:38"
"CU_LA_39","LA",39,"C_EGD_45","Halloween","LEM","10_08_01_11:41:57","LEM","10_08_01_11:42:00"
"CU_LA_4","LA",4,"C_EGD_166","Michaelmas","LEM","05_21_01_11:34:50","LEM","05_21_01_11:35:31"
"CU_LA_40","LA",40,"C_EGD_39","Easter","LEM","10_08_01_11:59:47","LEM","10_08_01_12:00:04"
"CU_LA_41","LA",41,"C_EGD_46","Halloween","LEM","10_08_01_12:03:06","LEM","10_08_01_12:03:10"
"CU_LA_42","LA",42,"C_EGD_47","Easter","LEM","10_08_01_12:16:07","LEM","10_08_01_12:16:08"
"CU_LA_43","LA",43,"C_EGD_59","Halloween","LEM","10_09_01_09:43:51","LEM","10_09_01_09:44:12"
"CU_LA_46","LA",46,"C_EGD_63","Halloween","LEM","10_09_01_10:14:39","LEM","10_09_01_10:14:41"
"CU_LA_48","LA",48,"C_EGD_63","Easter","LEM","10_09_01_10:36:26","LEM","10_09_01_10:36:56"
"CU_LA_49","LA",49,"C_EGD_63","Michaelmas","LEM","10_09_01_10:36:56","LEM","10_09_01_10:36:59"
"CU_LA_5","LA",5,"C_EGD_179","St._Andrew's_Day","LEM","05_21_01_16:42:18","LEM","05_21_01_16:43:37"
"CU_LA_50","LA",50,"C_EGD_110","Halloween","LEM","10_10_01_09:21:43","LEM","10_10_01_09:22:01"
"CU_LA_6","LA",6,"C_EGD_183","Lammas","LEM","05_22_01_14:50:34","LEM","05_22_01_14:50:37"
"CU_LA_7","LA",7,"C_EGD_183","Michaelmas","LEM","05_22_01_14:54:29","LEM","05_22_01_14:54:32"
"CU_LA_83","LA",83,"C_EGD_102","Halloween","LEM","10_12_01_12:35:38","LEM","10_12_01_12:35:41"
"CU_LA_84","LA",84,"C_EGD_104","Michaelmas","LEM","10_16_01_10:10:34","LEM","10_16_01_10:10:40"
"CU_LA_85","LA",85,"C_EGD_104","Lammas","LEM","10_16_01_10:10:41","LEM","10_16_01_10:10:41"
"CU_LA_86","LA",86,"C_EGD_104",,"LEM","10_16_01_10:10:51","LEM","10_16_01_10:10:54"
"CU_LA_87","LA",87,"C_EGD_29","Candlemas","LEM","10_18_01_10:08:33","LEM","10_18_01_10:08:40"
"CU_LA_88","LA",88,"C_EGD_1338","Easter","LEM","10_19_01_10:32:31","LEM","10_19_01_10:32:50"
"CU_LA_89","LA",89,"C_EGD_1339","Whitsunday","LEM","10_19_01_12:20:19","LEM","10_19_01_12:20:19"
"CU_LA_90","LA",90,"C_EGD_1339","Candlemas","LEM","10_19_01_12:23:20","LEM","10_19_01_12:23:36"
"CU_LA_91","LA",91,"C_EGD_1322","Easter","LEM","10_19_01_16:09:12","LEM","10_19_01_16:09:16"
"CU_LA_92","LA",92,"C_EGD_1322","Fastings_eve","LEM","10_19_01_16:10:07","LEM","10_19_01_16:11:24"
"CU_LA_93","LA",93,"C_EGD_963","Beltane","LEM","10_23_01_15:28:28","LEM","10_23_01_15:28:29"
"CU_LA_94","LA",94,"C_EGD_963","Candlemas","LEM","10_23_01_15:28:29","LEM","10_23_01_15:28:30"
"CU_LA_95","LA",95,"C_EGD_963","Fastings_eve","LEM","10_23_01_15:28:36","LEM","10_23_01_15:28:37"
"CU_LA_96","LA",96,"C_EGD_963","Halloween","LEM","10_23_01_15:28:39","LEM","10_23_01_15:28:40"
"CU_LA_97","LA",97,"C_EGD_964","Candlemas","LEM","10_23_01_15:50:23","LEM","10_23_01_15:50:24"
"CU_LA_98","LA",98,"C_EGD_964","Yule","LEM","10_23_01_15:50:26","LEM","10_23_01_15:50:27"
"CU_LA_99","LA",99,"C_LA_2911","Lammas","LEM","11_21_01_14:53:54","LEM","11_21_01_14:54:00"
