PersonRef,PersonID,PersonSystemId,FirstName,LastName,Other_Details,Title,Occupation,Office,Residence,IsDeleted,Notes,Createdby,Createdate,Lastupdatedby,Lastupdatedon
"JO_1096",1096,"JO","Robert","Taylor",,"Mr","minister",,"Houston",0,"Minister_at_Houston_from_1695_to_1701_when_he_transferred_to_Currie._Involved_in_case_in_1697.","jhm","12_04_01_14:42:59","jhm","12_17_03_11:12:28"
"JO_1097",1097,"JO","John","Maxwell",,"Sir_of_Nether_Pollok",,,"Renfrew",0,"Commissioner_in_1696_(?),_definitely_commissioner_for_Christian_Shaw_cases_in_1697._Also_involved_in_cases_in_1700.","jhm","12_04_01_14:43:37","jhm","12_02_03_10:19:04"
"JO_1098",1098,"JO","Christian","Shaw",,,,,"Bargarran",0,"Accused_several_people_in_1697_of_having_bewitched_her.","jhm","12_04_01_14:53:28","jhm","12_12_03_16:21:13"
"JO_1099",1099,"JO","James","Stirling",,"Mr","minister",,"Barony",0,"Moved_to_Barony,_Glasgow_in_1699_from_Kilbarchan._Minister_at_Barony_until_1736._Dean_of_faculty_of_Glasgow._Involved_in_case_in_1700.","jhm","12_04_01_15:38:07","jhm","01_22_04_14:08:39"
"JO_110",110,"JO","John","Eastone",,,,,"Haddington",0,"Involved_in_cases_in_1649.","jhm","06_13_01_12:21:38","jhm","11_20_03_16:27:17"
"JO_1100",1100,"JO","Robert","Miller",,"Mr","minister",,"Port_Glasgow",0,"Minister_at_Port_Glasgow_in_1699._Involved_in_case_in_1700.","jhm","12_04_01_15:42:41","jhm","12_02_03_11:51:28"
"JO_1101",1101,"JO","John","Paisley",,"Mr","minister",,"Lochwinnoch",0,"Minister_at_Lochwinnoch_in_1699._Involved_in_case_in_1700.","jhm","12_04_01_15:43:21","jhm","12_05_03_14:28:30"
"JO_1102",1102,"JO","George","Leslie",,"Mr","minister",,"Blantyre",0,"Minister_in_1676_7._Involved_in_case_in_1677.","jhm","12_04_01_16:14:50","jhm","12_01_03_15:44:37"
"JO_1103",1103,"JO","David","Elphinstone",,"Mr","minister",,"Dumbarton",0,"Minister_at_Dumbarton,_1633-1666._Commissioner_to_visit_Glasgow_university,_1639._Involved_in_cases_in_1649-50.","jhm","12_05_01_13:29:04","jhm","11_20_03_16:41:46"
"JO_1104",1104,"JO","Patrick","Ramsay",,"Mr","minister",,"Kilpatrick",0,"Minister_at_Kilpatrick_1648-1665._Involved_in_cases_in_1650.","jhm","12_05_01_13:57:46","jhm","12_12_03_10:15:25"
"JO_1105",1105,"JO","John","Duncan",,"Mr","minister",,"Culross",0,"Attended_General_Assemblies,_1638,_1642-8._Minister_at_Saline_until_transferred_to_Culross_in_1632,_died_in_1655._Involved_in_case_in_1649._Not_the_same_as_JO_1111.","jhm","01_16_02_11:58:26","jhm","11_20_03_16:04:42"
"JO_1106",1106,"JO","George","Colden",,"Mr","minister",,"Kinross",0,"Minister_at_Kinross,_1641-65._Involved_in_cases_in_1649.","jhm","01_16_02_12:46:59","jhm","11_20_03_12:14:25"
"JO_1107",1107,"JO","William","Oliphant",,"Mr","minister",,"Dunfermline",0,"Minister_at_Dunfermline_1645-62,_attended_General_Assembly_1648_and_1649._Involved_in_cases_in_1649.","jhm","01_16_02_12:48:29","jhm","12_05_03_14:11:26"
"JO_1108",1108,"JO","Robert","Bruce",,"Mr","minister",,"Ballingry",0,"Involved_in_cases_in_1649.","jhm","01_16_02_12:50:01","jhm","12_19_03_14:50:25"
"JO_1109",1109,"JO","George","Belfrage",,"Mr","minister",,"Carnock",0,"Minister_at_Culross_then_transferred_to_Carnock_in_1647._Involved_in_cases_in_1649.","jhm","01_16_02_12:51:56","jhm","12_19_03_14:36:27"
"JO_111",111,"JO","John","Baillie",,,,,"Haddington",0,"Involved_in_cases_in_1649.","jhm","06_13_01_12:22:02","jhm","11_12_03_15:19:52"
"JO_1110",1110,"JO","Robert","Bruce",,"Mr","minister",,"Aberdour",0,"Minister_at_Aberdour_1637-67._Attended_General_Assemblies_in_1645._Involved_in_cases_in_1649_and_1661.","jhm","01_16_02_15:26:31","jhm","11_18_03_12:49:03"
"JO_1111",1111,"JO","John","Duncan",,"Mr","minister","First_charge,_Dunfermline","Dunfermline",0,"Minister_at_Dunfermline,_1632-1655._Attended_General_Assemblies_1638,_1642-8._Involved_in_case_in_1649._Not_the_same_as_JO_1105.","jhm","01_16_02_15:30:17","jhm","11_20_03_16:05:23"
"JO_1112",1112,"JO","Henry","Smith",,"Mr","minister",,"Beath",0,"minister_at_Beath_1644-73._Involved_in_case_in_1649.","jhm","01_16_02_15:31:51","jhm","12_15_03_11:50:20"
"JO_1113",1113,"JO","Robert","Edmonstone",,"Mr","minister",,"Dunfermline",0,"Minister_of_second_charge,_1649-80._Involved_in_case_in_1649.","jhm","01_16_02_15:32:44","jhm","11_20_03_16:33:17"
"JO_1114",1114,"JO","William","Nairn",,"Mr","minister","1st_charge,_Dysart","Dysart",0,"Minister_of_1st_charge,_1617-1653._Involved_in_cases_in_1630,_1633,_1638_and_1649.","jhm","01_17_02_12:16:33","jhm","12_05_03_11:55:34"
"JO_1115",1115,"JO","James","Simpson",,"Mr","minister",,"Kirkcaldy",0,"Minister_at_Kirkcaldy,_1625-65._Involved_in_cases_in_1633_and_1638.","jhm","01_17_02_15:09:24","jhm","12_15_03_10:14:39"
"JO_1116",1116,"JO","Thomas","Melville",,"Mr","minister",,"Kinglessie",0,"Minister_at_Kinglessie,_1630-75._Involved_in_case_in_1638.","jhm","01_17_02_15:10:21","jhm","12_02_03_11:39:22"
"JO_1117",1117,"JO","John","Smith",,"Mr","minister",,"Leslie",0,"Minister_of_Leslie_in_Fife,_1634-43._Involved_in_case_in_1638.","jhm","01_17_02_15:11:00","jhm","12_15_03_11:52:26"
"JO_1118",1118,"JO","William","Bell",,"Mr","minister",,"Auchtertool_and_Dron",0,"Minister_in_Auchtertool,_1636-41,_then_Dron,_1641-51._Involved_in_cases_in_1638_and_1646.","jhm","01_17_02_15:11:37","jhm","12_19_03_14:37:08"
"JO_1119",1119,"JO","George","Gillespie",,"Mr","minister",,"Wemyss",0,"Minister_at_Wemyss,_1638-42._Involved_in_case_in_1638.","jhm","01_17_02_15:12:20","jhm","11_25_03_12:35:09"
"JO_112",112,"JO","William","Trent",,"Mr","minister",,"Haddington",0,"Minister,_2nd_charge_Haddington._Involved_in_cases_in_1649_and_1661.","jhm","06_13_01_12:26:07","jhm","12_17_03_11:55:50"
"JO_1120",1120,"JO","Lawrence","Skinner",,"Mr_the_elder","minister",,,0,"Son_also_Lawrence_and_a_minister_in_Brechin_presbytery._Skinner_the_elder_was_minster_at_Navar_and_attended_the_GA_in_1638_and_was_a_commissioner_to_the_GA_in_1646._Died_in_1647._He_was_involved_in_case_in_1642.","jhm","02_05_02_13:42:14","jhm","01_22_04_13:59:44"
"JO_1121",1121,"JO","Lawrence","Skinner",,"Mr_the_younger","minister",,,0,"Father_also_Lawrence_and_also_a_minister._Skinner_younger_was_minister_at_Brechin,_1650-1689_and_was_involved_in_cases_in_1650_and_1659.","jhm","02_05_02_13:44:15","jhm","01_22_04_14:00:03"
"JO_1122",1122,"JO","Robert","Norrie",,"Mr","minister",,"Strathcathro",0,"Minister_at_Strathcathro_1620-1643._Involved_in_case_in_1642.","jhm","02_05_02_13:45:56","jhm","12_05_03_12:39:05"
"JO_1124",1124,"JO","Robert","Norrie",,"Mr","minister",,"Lethnot_and_Navar",0,"Minister_at_Lethnot_and_Navar_1639-1683._Involved_in_cases_in_1642_and_1650.","jhm","02_05_02_13:47:51","jhm","12_05_03_12:37:42"
"JO_1125",1125,"JO","Patrick","Simpson",,"Mr","minister",,"Logie",0,"Minister_at_Montrose_then_Logie,_1645-1672._Involved_in_case_in_1650.","jhm","02_05_02_14:54:40","jhm","01_22_04_13:56:58"
"JO_1126",1126,"JO","Thomas","Cooper",,"Mr","minister",,"Montrose",0,"Minister_at_Montrose_1642-1662._His_wife_was_the_daughter_of_a_suspected_witch,_Robert_Burrell_of_Cooper._Involved_in_cases_in_1650_and_1659.","jhm","02_05_02_14:55:38","jhm","11_20_03_13:32:39"
"JO_1127",1127,"JO","William","Lighton",,"Mr","minister",,"Dun",0,"Minister_at_Dun,_1646-1685._Involved_in_case_in_1650.","jhm","02_05_02_14:56:16","jhm","01_22_04_11:10:53"
"JO_1128",1128,"JO","Alexander","Rennot",,,,"ruling_elder",,0,"Involved_in_case_in_1650.","jhm","02_05_02_14:56:47","jhm","12_12_03_10:53:17"
"JO_1129",1129,"JO","David","Campbell",,"Mr","minister",,"Menmuir",0,"Minister_at_Menmuir_1644-1690s._Involved_in_1649-50_Brechin_cases.","jhm","02_05_02_15:19:50","jhm","11_20_03_10:24:40"
"JO_113",113,"JO","Patrick","Young",,,,"bailie","Haddington",0,"Involved_in_cases_in_1649_and_1661-2.","jhm","06_13_01_12:31:04","jhm","12_19_03_11:30:32"
"JO_1130",1130,"JO","William","Raitt",,"Mr","minister",,"Brechin",0,"Minister_at_Brechin,_1644-1661._Attended_General_Assembly_and_was_on_commissions_in_1646,_1647_and_1649._Involved_in_cases_in_1650_and_1659.","jhm","02_05_02_15:43:23","jhm","01_22_04_12:19:43"
"JO_1131",1131,"JO","David","Ochterlony",,"Mr","minister",,"Oathlaw_or_Finavon",0,"Minister_at_Oathlaw_or_Finavon,_1650-1658,_later_moved_to_Fordoun._Involved_in_cases_in_1650.","jhm","02_05_02_16:01:47","jhm","12_05_03_13:52:11"
"JO_1132",1132,"JO","James","Thomson",,"Mr","minister",,"Kinell",0,"Minister_at_Kinell,_1640-1675._Commissioner_for_General_Assembly_1649._Involved_in_1649-50_Brechin_cases.","jhm","02_07_02_10:08:48","jhm","12_17_03_11:14:00"
"JO_1133",1133,"JO","Dugald","Jameson",,,,"bailie","Brechin",0,"Involved_in_1649-50_Brechin_cases.","jhm","02_07_02_10:09:45","jhm","01_22_04_10:17:14"
"JO_1134",1134,"JO","John","Ochterlony",,"Mr",,,,0,"This_may_be_John_Ochterlony_provost_of_Brechin_or_more_likely_his_son_who_graduated_MA_from_St_Andrews_in_1645_and_was_later_minister_at_Aberlemno._Involved_in_case_in_1650.","jhm","02_07_02_10:10:52","jhm","12_05_03_13:52:46"
"JO_1135",1135,"JO","David","Donaldson",,,,"bailie","Brechin",0,"Involved_in_1649-50_Brechin_cases.","jhm","02_07_02_10:12:00","jhm","11_20_03_15:05:00"
"JO_1136",1136,"JO","George","Dempster",,,,"master_of_the_hospital",,0,"Involved_in_1649-50_Brechin_case.","jhm","02_07_02_10:12:34","jhm","01_07_04_11:34:05"
"JO_1137",1137,"JO","John","Symer",,"younger_of_Brathwast",,,"Brathwast",0,"Involved_in_1649-50_Brechin_cases._No_further_details_about_where_Brathwast_was_is.","jhm","02_07_02_10:16:32","jhm","12_17_03_10:33:42"
"JO_1138",1138,"JO","John","Ormcause",,"younger","baxter",,,0,"Involved_in_1649-50_Brechin_case.","jhm","02_07_02_10:17:47","jhm","12_05_03_14:20:01"
"JO_1139",1139,"JO","John","Liddell",,,,"kirk_treasurer",,0,"Involved_in_Brechin_cases_in_1649-50.","jhm","02_07_02_11:22:05","jhm","12_01_03_15:59:13"
"JO_114",114,"JO","George","Cockburn",,,,"treasurer","Haddington",0,"Involved_in_case_in_1649.","jhm","06_13_01_12:46:45","jhm","11_20_03_11:44:16"
