ReferenceRef,RefSystemID,ReferenceID,CaseRef,SourceRef,Reference,KirkSession,Presbytery,BurghCourt,Confession,DraftDittay,Comm_CourtMin,Just_CourtMin,Circuit_CourtMin,Dittay,Pleadings,WitDep,WitStatement,CommJust,PrivyCouncil,Parliament,Estates,Royal,CommText,Verdict,Sentence,Chronicle,Financial,Other,Notes,Createdby,Createdate,Lastupdatedby,Lastupdatedon
"R_EGD_1023","EGD",1023,"C_EGD_1023","RPC","2nd_S,_v2_p._379",0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,,,"SMD","05_15_01_17:33:52","LEM","07_19_01_10:12:55"
"R_EGD_1024","EGD",1024,"C_EGD_1024",,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,"R.P.C._2ND_S._V2_pp._410,_442,_468-9,_624","SMD","05_15_01_17:33:52","SMD","05_15_01_17:33:52"
"R_EGD_1025","EGD",1025,"C_EGD_1025","RPC","2nd_S,_v2_p._623-4",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,"SMD","05_15_01_17:33:52","LEM","07_19_01_10:33:10"
"R_EGD_1026","EGD",1026,"C_EGD_1026","RPC","2nd_S,_v2_p._439",0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,,,"SMD","05_15_01_17:33:52","LEM","07_19_01_11:01:57"
"R_EGD_1027","EGD",1027,"C_EGD_1027","RPC","2nd_S,_v2_p._517",0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,,,"SMD","05_15_01_17:33:52","LEM","08_14_01_12:09:52"
"R_EGD_1028","EGD",1028,"C_EGD_1028","RPC","2nd_S,_v2_p._439",0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,,,"SMD","05_15_01_17:33:52","LEM","07_19_01_11:07:35"
"R_EGD_1029","EGD",1029,"C_EGD_1029","RPC","2nd_S,_v2_p._444",0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,,,"SMD","05_15_01_17:33:52","LEM","07_19_01_10:33:46"
"R_EGD_103","EGD",103,"C_EGD_103","High_Court_Minute_Books","JC6_3_May_1591",0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,,"This_is_pleadings_where_Napier_is_trying_to_get_certain_people_off_of_her_assize.","SMD","05_15_01_17:33:52","jhm","10_01_02_11:35:46"
"R_EGD_1030","EGD",1030,"C_EGD_1030","RPC","2nd_series,_vol_2,_p_471,_482.",0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,,,"SMD","05_15_01_17:33:52","jhm","07_02_01_15:52:53"
"R_EGD_1031","EGD",1031,"C_EGD_1031","RPC","2nd_series,_vol_2,_p_471,_482.",0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,,"Commissions_for_trial_noted.","SMD","05_15_01_17:33:52","jhm","07_02_01_16:19:24"
"R_EGD_1032","EGD",1032,"C_EGD_1032","RPC","2nd_series,_vol_2,_p_471,_482.",0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,,"Commissions_for_trial_noted.","SMD","05_15_01_17:33:52","jhm","07_02_01_16:25:27"
"R_EGD_1033","EGD",1033,"C_EGD_1033","RPC","2nd_series,_vol_2,_p_471,_482.",0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,,,"SMD","05_15_01_17:33:52","jhm","07_03_01_09:28:06"
"R_EGD_1034","EGD",1034,"C_EGD_1034","RPC","2nd_series,_vol_2,_p_471,_482.",0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,,,"SMD","05_15_01_17:33:52","jhm","07_03_01_09:40:35"
"R_EGD_1035","EGD",1035,"C_EGD_1035","RPC","2nd_series,_vol_2,_p_444.",0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,,,"SMD","05_15_01_17:33:52","jhm","07_02_01_13:01:21"
"R_EGD_1036","EGD",1036,"C_EGD_1036","RPC","2nd_series,_vol_2,_p_444.",0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,,,"SMD","05_15_01_17:33:52","jhm","07_02_01_12:36:18"
"R_EGD_1037","EGD",1037,"C_EGD_1037","RPC","2nd_series,_vol_2,_p_444.",0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,,,"SMD","05_15_01_17:33:52","jhm","07_02_01_13:16:18"
"R_EGD_1038","EGD",1038,"C_EGD_1038","RPC","2nd_S,_v2_p._471",0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,,,"SMD","05_15_01_17:33:52","LEM","07_19_01_12:20:16"
"R_EGD_1039","EGD",1039,"C_EGD_1039","RPC","2nd_S,_v2_p._439",0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,,,"SMD","05_15_01_17:33:52","LEM","07_19_01_11:12:33"
"R_EGD_104","EGD",104,"C_EGD_104","Pitcairn","v_I,_part_II,_page_237",0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,"same_text_as_JC2_2,_Also_listed_in_the_High_Court_Record_Index,_no._1_for_7_6_1591,","SMD","05_15_01_17:33:52","jhm","10_01_02_12:02:29"
"R_EGD_1040","EGD",1040,"C_EGD_1040",,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,"R.P.C._2ND_S._V2_pp._410,_442,_468-9,_624","SMD","05_15_01_17:33:52","SMD","05_15_01_17:33:52"
"R_EGD_1041","EGD",1041,"C_EGD_1041","RPC","2nd_S,_v2_p._470",0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,,,"SMD","05_15_01_17:33:52","LEM","07_19_01_12:06:28"
"R_EGD_1042","EGD",1042,"C_EGD_1042","RPC","2nd_S,_v2_p._362",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,"SMD","05_15_01_17:33:52","LEM","07_19_01_09:36:28"
"R_EGD_1043","EGD",1043,"C_EGD_1043","RPC","2nd_S,_v2_p._471",0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,,,"SMD","05_15_01_17:33:52","LEM","07_19_01_12:25:46"
"R_EGD_1044","EGD",1044,"C_EGD_1044","RPC","2nd_S,_v2_p._470-1",0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,,,"SMD","05_15_01_17:33:52","LEM","07_19_01_12:19:55"
"R_EGD_1045","EGD",1045,"C_EGD_1045","RPC","2nd_S,_v1_p._353",0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,,,"SMD","05_15_01_17:33:52","LEM","07_19_01_09:24:37"
"R_EGD_1046","EGD",1046,"C_EGD_1046","RPC","2nd_S,_v2_p._470-1",0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,,,"SMD","05_15_01_17:33:52","LEM","07_19_01_12:15:20"
"R_EGD_1047","EGD",1047,"C_EGD_1047","RPC","2nd_series,_ii,_p._482",0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,,,"SMD","05_15_01_17:33:52","jhm","06_07_01_14:41:02"
"R_EGD_1048","EGD",1048,"C_EGD_1048","RPC","2nd_series,_vol_2,_p_482.",0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,,,"SMD","05_15_01_17:33:52","jhm","07_02_01_16:07:19"
"R_EGD_1049","EGD",1049,"C_EGD_1049","RPC","2nd_series._Vol_2,_p_482.",0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,,,"SMD","05_15_01_17:33:52","jhm","07_02_01_15:29:52"
"R_EGD_1050","EGD",1050,"C_EGD_1050","RPC","2nd_S,_v2_p._489",0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,,,"SMD","05_15_01_17:33:52","LEM","08_14_01_10:17:19"
"R_EGD_1051","EGD",1051,"C_EGD_1051","RPC","2nd_S,_v2_p._489",0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,,,"SMD","05_15_01_17:33:52","LEM","08_14_01_10:22:40"
"R_EGD_1052","EGD",1052,"C_EGD_1052","RPC","2nd_S,_v2_p._489",0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,,,"SMD","05_15_01_17:33:52","LEM","08_14_01_10:19:06"
"R_EGD_1053","EGD",1053,"C_EGD_1053","RPC","2nd_S,_v2_p._489",0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,,,"SMD","05_15_01_17:33:52","LEM","08_14_01_10:14:03"
"R_EGD_1054","EGD",1054,"C_EGD_1054","RPC","2nd_S,_v2_p._476-7,_477;_2nd_S,_v3_p._3-4,_27",0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,,"page_27_is_just_a_note_of_ratification_of_the_first_commission_that_was_not_issued_by_the_PC.","SMD","05_15_01_17:33:52","LEM","08_15_01_10:53:14"
"R_EGD_1055","EGD",1055,"C_EGD_1055","RPC","2nd_S,_v2_p._494",0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,,,"SMD","05_15_01_17:33:52","LEM","08_14_01_10:32:12"
"R_EGD_1056","EGD",1056,"C_EGD_1056","RPC","2nd_S,_v2_p._494",0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,,,"SMD","05_15_01_17:33:52","LEM","08_14_01_10:30:15"
"R_EGD_1057","EGD",1057,"C_EGD_1057","RPC","2nd_S,_v2_p._481,_487",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,"Complaint","SMD","05_15_01_17:33:52","jhm","10_01_02_14:34:44"
"R_EGD_1058","EGD",1058,"C_EGD_1058","RPC","2nd_S,_v2_p._494",0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,,,"SMD","05_15_01_17:33:52","LEM","08_14_01_10:39:31"
"R_EGD_1059","EGD",1059,"C_EGD_1059","RPC","2nd_S,_v2_p._494",0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,,,"SMD","05_15_01_17:33:52","LEM","08_14_01_10:41:29"
"R_EGD_1060","EGD",1060,"C_EGD_1060","RPC","2nd_S,_v2_p._516",0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,,,"SMD","05_15_01_17:33:52","LEM","08_14_01_10:55:10"
"R_EGD_1061","EGD",1061,"C_EGD_1061","RPC","2nd_S,_v2_p._516",0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,,,"SMD","05_15_01_17:33:52","LEM","08_14_01_11:01:52"
"R_EGD_1062","EGD",1062,"C_EGD_1062","RPC","2nd_S,_v2_p._516",0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,,,"SMD","05_15_01_17:33:52","LEM","08_14_01_10:54:34"
"R_EGD_1063","EGD",1063,"C_EGD_1063","RPC","2nd_S,_v2_p._517",0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,,,"SMD","05_15_01_17:33:52","LEM","08_14_01_11:05:54"
"R_EGD_1064","EGD",1064,"C_EGD_1064","RPC","2nd_S,_v2_p._517",0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,,,"SMD","05_15_01_17:33:52","LEM","08_14_01_11:08:10"
"R_EGD_1065","EGD",1065,"C_EGD_1065","RPC","2nd_S,_v2_p._517",0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,,,"SMD","05_15_01_17:33:52","LEM","08_14_01_11:10:47"
"R_EGD_1066","EGD",1066,"C_EGD_1066","RPC","2nd_S,_v2_p._518",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,"SMD","05_15_01_17:33:52","LEM","08_14_01_12:14:13"
"R_EGD_1067","EGD",1067,"C_EGD_1067","RPC","2nd_S,_v2_p._518",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,"SMD","05_15_01_17:33:52","LEM","08_14_01_12:19:16"
"R_EGD_1068","EGD",1068,"C_EGD_1068","RPC","2nd_series._Vol_II,_p_540.",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,"Order_to_her_son_to_bring_her_to_Edinburgh.","SMD","05_15_01_17:33:52","jhm","08_26_02_14:22:47"
"R_EGD_1069","EGD",1069,"C_EGD_1069","RPC","2nd_S,_v2_p._540;_2nd_S,_v3_p._98",0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,,,"SMD","05_15_01_17:33:52","LEM","08_16_01_14:48:43"
"R_EGD_107","EGD",107,"C_EGD_107","Process_Notes","JC26_2_witchcraft_bundle,_item_19",0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,"SMD","05_15_01_17:33:52","LEM","07_24_02_16:13:58"
"R_EGD_1070","EGD",1070,"C_EGD_1070","RPC","2nd_S,_v2_p._540",0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,,,"SMD","05_15_01_17:33:52","LEM","08_14_01_12:48:25"
"R_EGD_1071","EGD",1071,"C_EGD_1071","RPC","2nd_S,_v2_p._540",0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,,,"SMD","05_15_01_17:33:52","LEM","08_14_01_12:47:55"
"R_EGD_1073","EGD",1073,"C_EGD_1073","RPC","2nd_series,_vol_II,_p_542.",0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,,,"SMD","05_15_01_17:33:52","jhm","08_26_02_14:25:23"
"R_EGD_1075","EGD",1075,"C_EGD_1075","RPC","2nd_S,_v3_p._15",0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,,,"SMD","05_15_01_17:33:52","LEM","08_15_01_13:52:29"
"R_EGD_1076","EGD",1076,"C_EGD_1076","RPC","2nd_S,_v3_pp._15-16",0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,,,"SMD","05_15_01_17:33:52","LEM","08_15_01_13:47:12"
"R_EGD_1077","EGD",1077,"C_EGD_1077","RPC","2nd_S,_v3_p._15-16",0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,,,"SMD","05_15_01_17:33:52","LEM","08_15_01_13:45:07"
"R_EGD_1078","EGD",1078,"C_EGD_1078","RPC","2nd_S,_v3_p._15-16",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,"SMD","05_15_01_17:33:52","LEM","08_15_01_13:42:39"
"R_EGD_1079","EGD",1079,"C_EGD_1079","RPC","2nd_S,_v3_pp._15-16",0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,,,"SMD","05_15_01_17:33:52","LEM","08_15_01_13:37:05"
"R_EGD_108","EGD",108,"C_EGD_108","Pitcairn","v_I,_part_II,_page_245-247",0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,,,"SMD","05_15_01_17:33:52","jhm","10_01_02_15:30:22"
"R_EGD_1080","EGD",1080,"C_EGD_1080","RPC","2nd_S,_v3_p._16",0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,,,"SMD","05_15_01_17:33:52","LEM","08_15_01_14:04:32"
"R_EGD_1081","EGD",1081,"C_EGD_1081","RPC","2nd_S,_v3_p._15",0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,,,"SMD","05_15_01_17:33:52","LEM","08_15_01_13:52:06"
"R_EGD_1082","EGD",1082,"C_EGD_1082","RPC","2nd_S,_v2_p._468",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,"2nd_S,_v2_p._627_-_a_copy_of_the_warrant_and_commission_to_Alexander_Veitch_for_her_arrest_and_examination.","SMD","05_15_01_17:33:52","jhm","10_01_02_15:40:15"
"R_EGD_1083","EGD",1083,"C_EGD_1083","RPC","2nd_S,_v3_p._32",0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,,,"SMD","05_15_01_17:33:52","LEM","08_16_01_16:26:19"
"R_EGD_1084","EGD",1084,"C_EGD_1084","RPC","2nd_S,_v3_p._32",0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,,,"SMD","05_15_01_17:33:52","LEM","08_30_01_10:38:42"
"R_EGD_1085","EGD",1085,"C_EGD_1085","RPC","2nd_S,_v3_p._59",0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,,,"SMD","05_15_01_17:33:52","LEM","08_16_01_14:15:46"
"R_EGD_1086","EGD",1086,"C_EGD_1086","RPC","2nd_S,_v3_p._62",0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,,,"SMD","05_15_01_17:33:52","LEM","08_16_01_15:08:20"
"R_EGD_1087","EGD",1087,"C_EGD_1087","RPC","2nd_S,_v3_p._62",0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,,,"SMD","05_15_01_17:33:52","LEM","08_16_01_15:01:54"
"R_EGD_1088","EGD",1088,"C_EGD_1088","RPC","2nd_S,_v3_p._62",0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,,,"SMD","05_15_01_17:33:52","LEM","08_16_01_15:09:03"
"R_EGD_1089","EGD",1089,"C_EGD_1089","RPC","2nd_S,_v3_p._62",0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,,,"SMD","05_15_01_17:33:52","LEM","08_16_01_15:12:45"
"R_EGD_109","EGD",109,"C_EGD_109","Process_Notes","JC26_2",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,"mentioned","SMD","05_15_01_17:33:52","LEM","08_22_02_14:26:23"
"R_EGD_1090","EGD",1090,"C_EGD_1090","RPC","2nd_S,_v3_p._62",0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,,,"SMD","05_15_01_17:33:52","LEM","08_16_01_15:13:30"
"R_EGD_1091","EGD",1091,"C_EGD_1091","RPC","2nd_S,_v3_p._59,_97,_123-124",0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,,,"SMD","05_15_01_17:33:52","LEM","08_16_01_14:03:11"
"R_EGD_1092","EGD",1092,"C_EGD_1092","RPC","2nd_S,_v3_p._59,_97,_123-124",0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,,,"SMD","05_15_01_17:33:52","LEM","08_16_01_13:54:01"
"R_EGD_1093","EGD",1093,"C_EGD_1093","RPC","2nd_S,_v3_p._98",0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,,,"SMD","05_15_01_17:33:52","LEM","08_16_01_14:22:46"
"R_EGD_1094","EGD",1094,"C_EGD_1094","RPC","2nd_S_v3,_p._4",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,,"payment_to_Edinburgh_jailor.","SMD","05_15_01_17:33:52","LEM","06_12_01_10:54:19"
"R_EGD_1095","EGD",1095,"C_EGD_1095","RPC","2nd_S,_v3_p._110",0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,,,"SMD","05_15_01_17:33:52","LEM","08_16_01_13:05:05"
"R_EGD_1096","EGD",1096,"C_EGD_1096","RPC","2nd_S,_v3_p._110-111",0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,,,"SMD","05_15_01_17:33:52","LEM","08_16_01_13:31:02"
"R_EGD_1097","EGD",1097,"C_EGD_1097","RPC","2nd_S,_v3_p._125",0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,,,"SMD","05_15_01_17:33:52","LEM","08_16_01_15:41:17"
