Trialref,TrialId,TrialSystemId,CaseRef,TrialType,Trial_settlement,Trial_parish,Trial_presbytery,Trial_county,Trial_burgh,Trial_NGR_Letters,Trial_NGR_Easting,Trial_NGR_Northing,Watching,WatchingDate,WatchingDate_as_date,Arrest,ArrestDate,ArrestDate_as_date,Fled,FledDate,FledDate_as_date,ActionDropped,Actiondropdate,Actiondropdate_as_date,Actiondroppedby,Actionbody,Confrontingsuspects,PretrialNotes,ProcessType,TrialDate,TrialDate_as_date,TrialPlace,Female_accusers,Male_accusers,High_status,Defence,Verdict,Sentence,Cjtorder,Cjtdate,Cjtdate_as_date,Circuit,Circuitname,Localwithcrep,Noreftocentral,TrialNotes,Execution,Executionmethod,ExecutionDate,ExecutionDate_as_date,ExecutionPlace,Exec_settlement,Exec_parish,Exec_presbytery,Exec_county,Exec_burgh,Exec_NGR_Letters,Exec_NGR_Easting,Exec_NGR_Northing,PostTrialNotes,Createdby,Createdate,Lastupdatedby,Lastupdatedon
"T_JO_1008",1008,"JO","C_EGD_1688",2,,,,,,,,,0,,,1,,,0,,,0,,,,,0,"Accused_imprisoned_before_commission_issued.",,,,,0,0,0,0,,,0,,,0,,0,0,"No_details",0,,,,,,,,,,,,,"No_details","jhm","10_18_01_15:07:21","jhm","10_21_02_16:17:41"
"T_JO_1009",1009,"JO","C_EGD_1687",2,,,,,,,,,0,,,1,,,0,,,0,,,,,0,"Commission_issued_after_the_accused_was_imprisoned.",,,,,0,0,0,0,,,0,,,0,,0,0,"No_details",0,,,,,,,,,,,,,"No_details","jhm","10_18_01_15:10:51","jhm","10_21_02_16:17:06"
"T_JO_101",101,"JO","C_EGD_1316",4,,,,,,,,,0,,,0,,,0,,,0,,,,,0,,,,,,0,0,0,0,,,0,,,0,,0,0,,0,,,,,,,,,,,,,,"jhm","06_14_01_14:41:31","jhm","06_14_01_14:41:49"
"T_JO_1010",1010,"JO","C_EGD_1686",2,,,,,,,,,0,,,1,,,0,,,0,,,,,0,"Commission_issued_after_the_accused_was_imprisoned.",,,,,0,0,0,0,,,0,,,0,,0,0,"No_details",0,,,,,,,,,,,,,"No_details","jhm","10_18_01_15:14:16","jhm","10_21_02_16:16:49"
"T_JO_1011",1011,"JO","C_EGD_1685",2,,,,,,,,,0,,,1,,,0,,,0,,,,,0,"Commission_issued_after_the_accused_was_imprisoned.",,,,,0,0,0,0,,,0,,,0,,0,0,"No_details",0,,,,,,,,,,,,,"No_details","jhm","10_18_01_15:18:02","jhm","10_21_02_16:16:16"
"T_JO_1012",1012,"JO","C_EGD_1684",2,,,,,,,,,0,,,1,,,0,,,0,,,,,0,"Commission_issued_after_the_accused_was_imprisoned.",,,,,0,0,0,0,,,0,,,0,,0,0,"No_details",0,,,,,,,,,,,,,"No_details","jhm","10_18_01_15:21:13","jhm","10_21_02_16:15:28"
"T_JO_1013",1013,"JO","C_EGD_1691",2,,,,,,,,,0,,,0,,,0,,,0,,,,,0,"Accused_recorded_as_having_confessed_before_commission_issued.",,,,,0,0,0,0,,,0,,,0,,0,0,"No_details",0,,,,,,,,,,,,,"No_details","jhm","10_18_01_15:38:38","jhm","10_18_01_15:39:31"
"T_JO_1014",1014,"JO","C_EGD_1690",2,,,,,,,,,0,,,0,,,0,,,0,,,,,0,"Commission_appears_to_have_been_issued_after_the_accused_confessed.",,,,,0,0,0,0,,,0,,,0,,0,0,"No_details",0,,,,,,,,,,,,,"No_details","jhm","10_18_01_15:42:58","jhm","10_18_01_15:48:41"
"T_JO_1015",1015,"JO","C_EGD_1694",2,,,,,,,,,0,,,0,,,0,,,0,,,,,0,"Commission_issued_after_the_accused_had_confessed.",,,,,0,0,0,0,,,0,,,0,,0,0,"No_details",0,,,,,,,,,,,,,"No_details","jhm","10_18_01_15:56:14","jhm","10_18_01_15:56:51"
"T_JO_1016",1016,"JO","C_EGD_1693",2,,,,,,,,,0,,,0,,,0,,,0,,,,,0,"Commission_issued_after_the_accused_had_confessed.",,,,,0,0,0,0,,,0,,,0,,0,0,"No_details",0,,,,,,,,,,,,,"No_detaisl","jhm","10_18_01_15:59:12","jhm","10_18_01_15:59:49"
"T_JO_1017",1017,"JO","C_EGD_1692",2,,,,,,,,,0,,,1,,,0,,,0,,,,,0,"It_seems_that_she_may_have_been_released_as_there_is_no_further_reference_to_trial_or_outome.",,,,,0,0,0,0,,,0,,,0,,0,0,"No_details",0,,,,,,,,,,,,,"No_details","jhm","10_18_01_16:07:15","jhm","10_21_02_16:28:33"
"T_JO_1018",1018,"JO","C_EGD_1557",2,,,,,,,,,0,,,0,,,0,,,0,,,,,0,"The_accused_petitioned_PC_about_illegal_pricking_by_John_Dick,_who_was_ordered_to_be_arrested_and_questioned._Second_petition_requested_public_announcement_of_his_innocence_as_he_claimed_Dick's_actions_had_brought_'infamie_and_disgrace'_on_him._He_did_not_have_a_trial_but_PC_cleared_his_name.",,,,,0,0,0,0,"Not_Guilty",,0,,,0,,0,0,,0,,,,,,,,,,,,,,"jhm","10_18_01_16:16:43","jhm","10_08_02_15:47:13"
"T_JO_1019",1019,"JO","C_EGD_1714",2,,,,,,,,,0,,,1,,,0,,,0,,,,,0,"Commission_for_trial,_suspect_imprisoned._Commission_to_report_to_PC_before_sentence.",,,,,0,0,0,0,,,0,,,0,,0,0,,0,,,,,,,,,,,,,,"jhm","10_19_01_09:42:24","jhm","10_21_02_16:48:34"
"T_JO_102",102,"JO","C_EGD_1316",2,,,,,,,,,0,,,1,,,0,,,0,,,,,0,"Deposition_attested_and_request_for_commission_to_try_and_judge_the_suspect_recorded_in_presbytery_records.",,,,,0,0,0,0,,,0,,,0,,0,0,"No_trial_details.",0,,,,,,,,,,,,,,"jhm","06_14_01_14:42:58","LEM","10_28_02_12:53:55"
"T_JO_1020",1020,"JO","C_JO_2903",2,,,,,,,,,0,,,1,,,0,,,0,,,,,0,"Accused_petitioned_PC_about_her_imprisonment._Claimed_that_as_she_was_being_held_in_prison_over_the_harvest_she_would_lose_her_crops_and_income._PC_ordered_her_to_be_released_on_payment_of_2000_merks_and_caution_her_to_appear_at_a_later_date.",,,,,0,0,0,0,,,0,,,0,,0,0,"No_details",0,,,,,,,,,,,,,"No_details","jhm","10_19_01_09:55:38","jhm","10_11_02_16:57:05"
"T_JO_1022",1022,"JO","C_EGD_1367",2,,,,,,,,,0,,,0,,,0,,,0,,,,,0,,,,,,0,0,0,0,,,0,,,0,,0,0,"No_details",0,,,,,,,,,,,,,"No_details","jhm","10_19_01_10:31:51","jhm","10_19_01_10:32:26"
"T_JO_1023",1023,"JO","C_EGD_1368",2,,,,,,,,,0,,,0,,,0,,,0,,,,,0,,,,,,0,0,0,0,,,0,,,0,,0,0,"No_details",0,,,,,,,,,,,,,"No_details","jhm","10_19_01_10:54:12","jhm","10_19_01_10:54:37"
"T_JO_1024",1024,"JO","C_EGD_1375",2,,,,,,,,,0,,,0,,,0,,,0,,,,,0,,,,,,0,0,0,0,,,0,,,0,,0,0,"No_details",0,,,,,,,,,,,,,"No_details","jhm","10_19_01_12:04:07","jhm","10_19_01_12:04:40"
"T_JO_1025",1025,"JO","C_EGD_1372",2,,,,,,,,,0,,,0,,,0,,,0,,,,,0,,,,,,0,0,0,0,,,0,,,0,,0,0,"No_details",0,,,,,,,,,,,,,"No_details","jhm","10_19_01_12:19:37","jhm","10_19_01_12:20:02"
"T_JO_1026",1026,"JO","C_EGD_1373",2,,,,,,,,,0,,,0,,,0,,,0,,,,,0,,,,,,0,0,0,0,,,0,,,0,,0,0,"No_details",0,,,,,,,,,,,,,"No_details","jhm","10_19_01_12:37:42","jhm","10_19_01_12:38:08"
"T_JO_1027",1027,"JO","C_JO_2905",2,,,,,,,,,0,,,0,,,0,,,0,,,,,0,,,,,,0,0,0,0,,,0,,,0,,0,0,"No_details",0,,,,,,,,,,,,,"No_details","jhm","10_19_01_12:58:56","jhm","10_19_01_12:59:22"
"T_JO_1028",1028,"JO","C_EGD_1374",2,,,,,,,,,0,,,0,,,0,,,0,,,,,0,,,,,,0,0,0,0,,,0,,,0,,0,0,"No_details",0,,,,,,,,,,,,,"No_details","jhm","10_19_01_13:07:25","jhm","10_19_01_13:07:52"
"T_JO_1029",1029,"JO","C_EGD_1373",4,,,,,,,,,0,,,0,,,0,,,0,,,,,0,,,,,,0,0,0,0,,,0,,,0,,0,0,,0,,,,,,,,,,,,,,"jhm","10_19_01_13:17:43","jhm","10_19_01_13:17:47"
"T_JO_103",103,"JO","C_EGD_1315",4,,,,,,,,,0,,,0,,,0,,,0,,,,,0,,,,,,0,0,0,0,,,0,,,0,,0,0,,0,,,,,,,,,,,,,,"jhm","06_14_01_14:59:53","jhm","06_14_01_14:59:56"
"T_JO_1030",1030,"JO","C_EGD_1372",4,,,,,,,,,0,,,0,,,0,,,0,,,,,0,,,,,,0,0,0,0,,,0,,,0,,0,0,,0,,,,,,,,,,,,,,"jhm","10_19_01_13:22:50","jhm","10_19_01_13:22:52"
"T_JO_1031",1031,"JO","C_EGD_1368",4,,,,,,,,,0,,,0,,,0,,,0,,,,,0,,,,,,0,0,0,0,,,0,,,0,,0,0,,0,,,,,,,,,,,,,,"jhm","10_19_01_13:24:01","jhm","10_19_01_13:24:04"
"T_JO_1032",1032,"JO","C_EGD_1367",4,,,,,,,,,0,,,0,,,0,,,0,,,,,0,,,,,,0,0,0,0,,,0,,,0,,0,0,,0,,,,,,,,,,,,,,"jhm","10_19_01_13:25:02","jhm","10_19_01_13:25:04"
"T_JO_1033",1033,"JO","C_JO_2905",4,,,,,,,,,0,,,0,,,0,,,0,,,,,0,,,,,,0,0,0,0,,,0,,,0,,0,0,,0,,,,,,,,,,,,,,"jhm","10_19_01_15:22:16","jhm","10_19_01_15:22:18"
"T_JO_1034",1034,"JO","C_EGD_1354",4,,,,,,,,,0,,,0,,,0,,,0,,,,,0,,,,,,0,0,0,0,,,0,,,0,,0,0,,0,,,,,,,,,,,,,,"jhm","10_19_01_15:28:44","jhm","10_19_01_15:28:47"
"T_JO_1035",1035,"JO","C_EGD_1343",4,,,,,,,,,0,,,0,,,0,,,0,,,,,0,,,,,,0,0,0,0,,,0,,,0,,0,0,,0,,,,,,,,,,,,,,"jhm","10_19_01_15:30:43","jhm","10_19_01_15:30:44"
"T_JO_1036",1036,"JO","C_EGD_1344",4,,,,,,,,,0,,,0,,,0,,,0,,,,,0,,,,,,0,0,0,0,,,0,,,0,,0,0,,0,,,,,,,,,,,,,,"jhm","10_19_01_15:35:50","jhm","10_19_01_15:35:53"
"T_JO_1037",1037,"JO","C_EGD_1370",4,,,,,,,,,0,,,0,,,0,,,0,,,,,0,,,,,,0,0,0,0,,,0,,,0,,0,0,,0,,,,,,,,,,,,,,"jhm","10_19_01_15:43:17","jhm","10_19_01_15:43:20"
"T_JO_1038",1038,"JO","C_EGD_1957",4,,,,,,,,,0,,,0,,,0,,,0,,,,,0,,,,,,0,0,0,0,,,0,,,0,,0,0,,0,,,,,,,,,,,,,,"jhm","10_19_01_15:50:56","jhm","10_19_01_15:50:58"
"T_JO_1039",1039,"JO","C_EGD_1969",4,,,,,,,,,0,,,0,,,0,,,0,,,,,0,,,,,,0,0,0,0,,,0,,,0,,0,0,,0,,,,,,,,,,,,,,"jhm","10_19_01_15:54:15","jhm","10_19_01_15:54:17"
"T_JO_104",104,"JO","C_EGD_1315",2,,,,,,,,,0,,,1,,,0,,,0,,,,,0,"Note_in_presbytery_that_suspect_imprisoned,_depositions_attested_and_commission_to_be_requested.",,,,,0,0,0,0,,,0,,,0,,0,0,"No_trial_details.",0,,,,,,,,,,,,,,"jhm","06_14_01_15:00:55","LEM","10_28_02_12:53:39"
"T_JO_1040",1040,"JO","C_EGD_20",4,,,,,,,,,0,,,0,,,0,,,0,,,,,0,,,,,,0,0,0,0,,,0,,,0,,0,0,,0,,,,,,,,,,,,,,"jhm","10_19_01_15:58:08","jhm","10_19_01_15:58:09"
"T_JO_1041",1041,"JO","C_EGD_1613",4,,,,,,,,,0,,,0,,,0,,,0,,,,,0,,,,,,0,0,0,0,,,0,,,0,,0,0,,0,,,,,,,,,,,,,,"jhm","10_19_01_16:03:43","jhm","10_19_01_16:03:44"
"T_JO_1042",1042,"JO","C_EGD_1347",4,,,,,,,,,0,,,0,,,0,,,0,,,,,0,,,,,,0,0,0,0,,,0,,,0,,0,0,,0,,,,,,,,,,,,,,"jhm","10_19_01_16:13:22","jhm","10_19_01_16:13:25"
"T_JO_1043",1043,"JO","C_EGD_1355",4,,,,,,,,,0,,,0,,,0,,,0,,,,,0,,,,,,0,0,0,0,,,0,,,0,,0,0,,0,,,,,,,,,,,,,,"jhm","10_19_01_16:16:25","jhm","10_19_01_16:16:27"
"T_JO_1044",1044,"JO","C_EGD_516",4,,,,,,,,,0,,,0,,,0,,,0,,,,,0,,,,,,0,0,0,0,,,0,,,0,,0,0,,0,,,,,,,,,,,,,,"jhm","10_19_01_16:19:04","jhm","10_19_01_16:19:05"
"T_JO_1045",1045,"JO","C_EGD_517",4,,,,,,,,,0,,,0,,,0,,,0,,,,,0,,,,,,0,0,0,0,,,0,,,0,,0,0,,0,,,,,,,,,,,,,,"jhm","10_19_01_16:21:18","jhm","10_19_01_16:21:20"
"T_JO_1046",1046,"JO","C_EGD_1371",4,,,,,,,,,0,,,0,,,0,,,0,,,,,0,,,,,,0,0,0,0,,,0,,,0,,0,0,,0,,,,,,,,,,,,,,"jhm","10_19_01_16:24:34","jhm","10_19_01_16:24:36"
"T_JO_105",105,"JO","C_JO_2670",2,,,,,,,,,0,,,1,,,0,,,0,,,,,0,"Note_in_presbytery_records_that_suspect_imprisoned_with_2_others_and_that_commission_is_to_be_requested.",,,,,0,0,0,0,,,0,,,0,,0,0,"No_trial_details.",0,,,,,,,,,,,,,,"jhm","06_14_01_15:13:58","jhm","10_11_02_16:41:32"
"T_JO_106",106,"JO","C_JO_2671",2,,,,,,,,,0,,,0,,,0,,,0,,,,,0,"Note_in_the_presbytery_that_the_suspect_was_under_investigation_and_that_they_recommended_to_the_magistrate_of_the_bounds_that_the_matter_be_tried.__Suspect_appears_to_have_been_quite_high_status_and_reference_to_a_local_bound_court_suggests_desire_to_keep_the_trial_within_local_control_with_no_reference_to_central_authorities.",,,,,0,0,0,0,,,0,,,0,,0,1,"no_trial_details.",0,,,,,,,,,,,,,,"jhm","06_14_01_16:04:14","LEM","11_04_02_10:05:14"
"T_JO_107",107,"JO","C_EGD_1337",2,,,,,,,,,0,,,1,,,0,,,0,,,,,0,"Presbytery_notes_that_deposition_from_accused_had_been_attested_and_therefore_commission_for_trial_and_judge_was_to_be_requested.",,,,,0,0,0,0,,,0,,,0,,0,0,"No_details.",0,,,,,,,,,,,,,,"jhm","06_15_01_09:21:39","LEM","10_28_02_12:55:01"
"T_JO_1070",1070,"JO","C_EGD_523",4,,,,,,,,,0,,,0,,,0,,,0,,,,,0,,,,,,0,0,0,0,,,0,,,0,,0,0,,0,,,,,,,,,,,,,,"jhm","10_22_01_12:04:45","jhm","10_22_01_12:04:48"
"T_JO_1071",1071,"JO","C_LA_2920",4,,,,,,,,,0,,,0,,,0,,,0,,,,,0,,,,,,0,0,0,0,,,0,,,0,,0,0,,0,,,,,,,,,,,,,,"jhm","10_22_01_12:24:18","jhm","10_22_01_12:24:21"
"T_JO_1073",1073,"JO","C_JO_2923",2,,,,,,,,,0,,,1,,,0,,,0,,,,,0,"Bailies_of_the_Canongate_to_proceed_to_trial_without_torture.",,,,,0,0,0,0,,,0,,,0,,0,0,,0,,,,,,,,,,,,,,"jhm","10_22_01_13:27:53","jhm","10_11_02_16:58:49"
"T_JO_1074",1074,"JO","C_JO_2924",2,,,,,,,,,0,,,0,,,0,,,0,,,,,0,"Died_after_being_pricked_by_John_Ramsay.",,,,,0,0,0,0,,,0,,,0,,0,0,,0,,,,,,,,,,,,,,"jhm","10_22_01_14:51:02","jhm","10_22_01_14:51:51"
"T_JO_1075",1075,"JO","C_EGD_1713",2,,,,,,,,,0,,,1,,,0,,,0,,,,,0,"Accused_appealed_to_PC_that_she_had_been_held_in_prison_for_18_months._Order_for_trial_or_release_by_1_4_1663.",,,,,0,0,0,0,,,0,,,0,,0,0,"No_details",0,,,,,,,,,,,,,,"jhm","10_22_01_15:00:25","LEM","10_11_02_14:16:16"
"T_JO_1076",1076,"JO","C_EGD_1712",2,,,,,,,,,0,,,1,,,0,,,0,,,,,0,"Accused_complained_about_being_held_in_prison_for_18_months._PC_ordered_trial_without_any_torture.",,,,,0,0,0,0,,,0,,,0,,0,0,"No_details",0,,,,,,,,,,,,,"No_details","jhm","10_22_01_15:04:26","jhm","10_21_02_16:46:48"
"T_JO_1077",1077,"JO","C_EGD_2453",2,,,,,,,,,0,,,1,"29_1_1706","01_29_06_00:00:00",1,"17_6_1706","06_17_06_00:00:00",0,,,,,0,"Request_for_commission_recorded_as_having_been_sent_to_Queen's_Advocate_in_Edinburgh,_but_no_record_of_any_reply_or_commission.The_presbytery_paid_for_her_keep_in_prison,_later_they_called_in_bonds_of_money_due_to_the_accused_(£40_Scots)_which_was_used_to_pay_for_her_imprisonment.",,,,,0,0,0,0,"Guilty","Excommunicated",0,,,0,,0,1,"Did_not_appear_for_trial_as_she_had_escaped._Sentence_of_excommunication_passed.",0,,,,,,,,,,,,,"Escaped_prison_and_declared_excommunicated.","jhm","10_23_01_10:44:33","jhm","10_29_02_12:35:19"
"T_JO_108",108,"JO","C_EGD_1318",2,,,,,,,,,0,,,1,,,0,,,0,,,,,0,"deposition_attested_and_commission_for_trial_and_judge_requested._12_others_named_in_list_for_commission.",,,,,0,0,0,0,,,0,,,0,,0,0,"No_details_of_trial.",0,,,,,,,,,,,,,,"jhm","06_15_01_09:38:27","LEM","10_28_02_12:54:09"
"T_JO_109",109,"JO","C_JO_2672",2,,,,,,,,,0,,,1,,,0,,,0,,,,,0,"deposition_attested_and_commission_to_try_and_judge_to_be_requested.",,,,,0,0,0,0,,,0,,,0,,0,0,"No_trial_details.",0,,,,,,,,,,,,,,"jhm","06_15_01_09:49:42","jhm","10_11_02_16:41:38"
"T_JO_110",110,"JO","C_EGD_1318",4,,,,,,,,,0,,,0,,,0,,,0,,,,,0,,,,,,0,0,0,0,,,0,,,0,,0,0,,0,,,,,,,,,,,,,,"jhm","06_15_01_09:56:53","jhm","06_15_01_09:56:55"
"T_JO_1107",1107,"JO","C_EGD_2231",2,,,,,,,,,0,,,0,,,0,,,0,,,,,0,"Church_discussed_the_case_and_ordered_her_to_be_censured._The_person_who_consulted_her_also_seems_to_have_been_punished_as_well.",,,,,0,0,0,0,,,0,,,0,,0,0,,0,,,,,,,,,,,,,,"jhm","11_23_01_11:21:16","jhm","10_24_02_15:17:10"
"T_JO_1109",1109,"JO","C_EGD_2471",2,,,,,,,,,0,,,0,,,0,,,0,,,,,0,"Local_ministers_and_lairds_(?elders)_involved._Reported_that_the_accused_confessed__in_her_local_kirk._Investigation_went_on_for_some_months_and_several_ministers_involved._Found_guilty_of_charming_but_appears_that_they_could_not_sentence_her_to_death_for_this._Presbytery_recorded_that_a_commission_was_to_be_requested._20_7_1642_Mr_John_Currie_reported_that_the_council_felt_the_points_of_the_application_in_'no_wayes_demerit_death',_?no_further_action.",,,,,0,0,0,0,,,0,,,0,,0,0,,0,,,,,,,,,,,,,,"jhm","11_23_01_14:09:00","jhm","10_30_02_09:48:44"
"T_JO_111",111,"JO","C_JO_2673",2,,,,,,,,,0,,,1,,,0,,,0,,,,,0,"deposition_attested_and_commission_for_trial_and_judge_to_be_requested.",,,,,0,0,0,0,,,0,,,0,,0,0,"No_details",0,,,,,,,,,,,,,,"jhm","06_15_01_10:00:09","jhm","10_11_02_16:41:56"
"T_JO_1110",1110,"JO","C_EGD_2281",2,,,,,,,,,0,,,0,,,0,,,0,,,,,0,"No_details_apart_from_minister_was_to_make_some_investigations.",,,,,0,0,0,0,,,0,,,0,,0,0,,0,,,,,,,,,,,,,,"jhm","11_23_01_15:26:49","jhm","10_24_02_16:48:15"
"T_JO_1111",1111,"JO","C_EGD_2356",2,,,,,,,,,0,,,1,,,0,,,0,,,,,0,"Brother_and_husband_requested_that_she_was_set_at_liberty._Further_entries_only_record_that_she_'continues_under_caution_as_before'._No_details_of_accusations.",,,,,0,0,0,0,,,0,,,0,,0,0,,0,,,,,,,,,,,,,,"jhm","11_27_01_09:58:21","LEM","10_11_02_15:39:10"
"T_JO_1112",1112,"JO","C_JO_2927",2,,,,,,,,,0,,,0,,,0,,,0,,,,,0,"Local_minister_reported_that_he_was_investigating_the_suspect,_but_no_further_details.",,,,,0,0,0,0,,,0,,,0,,0,0,,0,,,,,,,,,,,,,,"jhm","11_27_01_10:21:50","jhm","11_27_01_10:40:30"
"T_JO_1113",1113,"JO","C_EGD_1819",2,,,,,,,,,0,,,1,"22_11_1649","11_22_49_00:00:00",0,,,1,"28_2_1650","02_28_50_00:00:00",,"Presbytery",0,"Accused_named_by_Janet_Coutts_(C_EGD_1817)_and_presbytery_arrest_and_investigate_case._Commission_granted_and_suspects_pricked_but_nothing_found_against_Moffat._Ordered_to_be_released._Ministers_had_wanted_Coutts_to_be_brought_to_confront_those_she_had_named_but_this_seems_not_to_have_happened,_and_this_appears_to_be_another_example_of_Coutts'_naming_without_any_cause.",,,,,0,0,0,0,,,0,,,0,,0,0,,0,,,,,,,,,,,,,,"jhm","11_27_01_12:23:29","jhm","10_22_02_13:05:02"
"T_JO_1114",1114,"JO","C_JO_2928",2,,,,,,,,,0,,,1,,,0,,,1,"27_3_1650","03_27_50_00:00:00",,"Presbytery",0,"Named_by_Janet_Coutts_(C_EGD_1817)_along_with_several_others._Presbytery_investigate_and_requested_commission_from_Committee_of_Estates._There_were_some_witnesses_against_McBirnie_who_accused_her_of_causing_harm_but,_after_further_investigation,_case_was_dismissed._Birnie_wanted_Coutts_brought_to_confront_suspects_but_this_appears_not_to_have_happened.",,,,,0,0,0,0,,,0,,,0,,0,0,,0,,,,,,,,,,,,,,"jhm","11_27_01_12:45:31","LEM","10_28_02_13:10:03"
"T_JO_1115",1115,"JO","C_EGD_1822",2,,,,,,,,,0,,,1,"22_11_1649","11_22_49_00:00:00",0,,,0,,,,,0,"Accused_was_named,_with_several_others,_by_Janet_Coutts_(C_EGD_1817)._Local_ministers_investigated_and_commission_requested_from_Committee_of_Estates._Janet_Coutts_was_meant_to_be_brought_to_confront_the_accused_but_this_does_not_appear_to_have_happened._Most_of_the_other_accused_were_dismissed_but_nothing_was_recorded_about_Acheson.",,,,,0,0,0,0,,,0,,,0,,0,0,,0,,,,,,,,,,,,,,"jhm","11_27_01_13:11:19","jhm","10_22_02_13:15:25"
