AccusedRef,AccusedSystemId,AccusedID,FirstName,LastName,M_Firstname,M_Surname,Alias,Patronymic,DesTitle,Sex,Age,Age_estcareer,Age_estchild,Res_settlement,Res_parish,Res_presbytery,Res_county,Res_burgh,Res_NGR_Letters,Res_NGR_Easting,Res_NGR_Northing,Ethnic_origin,MaritalStatus,SocioecStatus,Occupation,Notes,Createdby,Createdate,Lastupdatedby,Lastupdatedon
"A_EGD_1010","EGD",1010,"Barbara","Mathie","Barbara","Mathie",,,,"Female",,0,0,"Prestonpans","P_ST_1359","Haddington","Haddington",,,,,,,,,,"SMD","05_15_01_11:06:51","jhm","10_01_02_11:13:16"
"A_EGD_1011","EGD",1011,"Bessie","Riddell","Elizabeth","Riddall",,,,"Female",,0,0,"Prestonpans","P_ST_1359","Haddington","Haddington",,,,,,,,,,"SMD","05_15_01_11:06:51","jhm","10_01_02_11:14:21"
"A_EGD_1012","EGD",1012,"Agnes","Dempstar","Agnes","Dempster",,,,"Female",,0,0,"Prestonpans","P_ST_1359","Haddington","Haddington",,,,,,,,,,"SMD","05_15_01_11:06:51","jhm","10_01_02_11:15:28"
"A_EGD_1014","EGD",1014,"Bessie","Wright","Elizabeth","Wright",,,,"Female",42,1,0,"Querrell_Mill","P_ST_141","Perth","Perth",,"NT",,,,,"Middling",,"The_presbytery_entries_refer_to_an_earlier_incident_in_1611_when_Wright_was_reprimanded_and_told_to_stop_using_cures._Age_calculated_from_career,_25_+_17_=_42_although_she_was_probably_older_as_her_son_was_married._The_bail_she_was_given_was_for_£1000_so_she_appears_to_have_been_middling_economic_status.","SMD","05_15_01_11:06:51","jhm","10_01_02_11:16:47"
"A_EGD_1015","EGD",1015,"Janet","Strauchane","Janet","Straughan",,,,"Female",,0,0,"Prestonpans","P_ST_1359","Haddington","Haddington",,,,,,"Married",,,,"SMD","05_15_01_11:06:51","jhm","10_01_02_11:20:49"
"A_EGD_1016","EGD",1016,"William","Davidson","William","Davidson",,,,"Male",,0,0,,"P_ST_1408","Haddington","Haddington",,,,,,,,,,"SMD","05_15_01_11:06:51","jhm","10_01_02_11:22:12"
"A_EGD_1017","EGD",1017,"Beatrix","Cuthbertson","Beatrice","Cuthbertson",,,,"Female",,0,0,"Prestonpans","P_ST_1359","Haddington","Haddington",,,,,,,,,,"SMD","05_15_01_11:06:51","jhm","10_01_02_11:23:33"
"A_EGD_1018","EGD",1018,"Janet","Wright","Janet","Wright",,,,"Female",43,1,0,"Niddry",,,"Linlithgow",,,,,,"Married",,,"confessed_to_being_a_witch_for_18-19_years,_18+25=43._Can't_find_Nidrie_parish_in_Linlithgow_presbytery.","SMD","05_15_01_11:06:51","jhm","10_01_02_11:27:59"
"A_EGD_1019","EGD",1019,"Margaret","Barrowman","Margaret","Barrowman",,,,"Female",,0,0,"Easthouses","P_ST_1274","Dalkeith","Edinburgh",,,,,,,,,"few_details_about_accused.","SMD","05_15_01_11:06:51","jhm","10_01_02_11:37:10"
"A_EGD_102","EGD",102,"Niniane","Chirneyside","Ninian","Chirnside",,,,"Male",,0,0,,,,"Edinburgh",,,,,,,"Middling","Servant","He_was_the_Servant_to_Earl_of_Bothwell.__There_was_a_proclamation_against_him.__He_is_described_as_a_'servitor'_to_Francis,_Earl_of_Bothwell,_and_he_has_his_own_servant.","SMD","05_15_01_11:06:51","jhm","10_02_02_11:41:33"
"A_EGD_1020","EGD",1020,"Elspitt","Duncan","Elizabeth","Duncan",,,,"Female",,0,0,,"P_ST_660","Dalkeith","Edinburgh",,,,,,,,,"Few_details.","SMD","05_15_01_11:06:51","LEM","12_05_02_12:56:59"
"A_EGD_1021","EGD",1021,"Marioun","Scheirar","Marion","Shearer",,,,"Female",,0,0,,"P_ST_660","Dalkeith","Edinburgh",,,,,,,,,"Few_details_about_accused.","SMD","05_15_01_11:06:51","jhm","10_01_02_11:43:35"
"A_EGD_1022","EGD",1022,"Janet","Smiberd","Janet","Simbeard",,,,"Female",25,0,1,"Middleton",,"Dalkeith","Edinburgh",,,,,,,,,"Age_estimated_from_mother.","SMD","05_15_01_11:06:51","jhm","10_01_02_11:47:07"
"A_EGD_1023","EGD",1023,"Janet","Unes","Janet","Unes",,,,"Female",50,0,1,"Middleton",,"Dalkeith","Edinburgh",,,,,,"Married",,,,"SMD","05_15_01_11:06:51","jhm","10_01_02_11:49:21"
"A_EGD_1024","EGD",1024,"Alesoun","Chapman","Alison","Chapman",,,,"Female",,0,0,,,"Dalkeith","Edinburgh",,,,,,,"Landless",,"No_details_about_location_of_accused._In_presbytery_she_is_recorded_as_a_vagabond_but_in_RPC_there_is_a_blank_for_the_place_name.","SMD","05_15_01_11:06:51","jhm","10_01_02_11:51:01"
"A_EGD_1025","EGD",1025,"Christian","Tailyour","Christine","Taylor",,,,"Female",,0,0,,,"Dalkeith","Edinburgh",,,,,,,"Landless",,"Recorded_as_vagabond_in_presbytery_but_in_RPC_place_name_blank.","SMD","05_15_01_11:06:51","jhm","10_01_02_11:52:30"
"A_EGD_1026","EGD",1026,"Issobell","Thomsoun","Isobel","Thomson",,,,"Female",,0,0,"Corsoute",,"Dalkeith","Edinburgh",,,,,,,,,"Note_in_presbytery_that_accused_from_?Corsoute.","SMD","05_15_01_11:06:51","jhm","10_01_02_11:53:55"
"A_EGD_1027","EGD",1027,"Elspitt","Hislop","Elizabeth","Hislop",,,,"Female",,0,0,"Langniddry",,"Haddington","Haddington",,,,,,"Married",,,,"SMD","05_15_01_11:06:51","jhm","10_01_02_11:56:22"
"A_EGD_1028","EGD",1028,"Janet","Darling","Janet","Darling",,,,"Female",,0,0,"Prestonpans","P_ST_1359","Haddington","Haddington",,,,,,"Married",,,,"SMD","05_15_01_11:06:51","jhm","10_01_02_11:57:29"
"A_EGD_103","EGD",103,"Jonat","Drummond","Janet","Drummond",,,,"Female",,0,0,,,,"Haddington",,,,,,,,,,"SMD","05_15_01_11:06:51","jhm","10_02_02_12:14:12"
"A_EGD_1030","EGD",1030,"Margaret","Cowane","Margaret","Cowan",,,,"Female",,0,0,"Cannongate","P_ST_654","Edinburgh","Edinburgh",,,,,,"Married","Middling",,,"SMD","05_15_01_11:06:51","jhm","11_13_02_14:16:14"
"A_EGD_1031","EGD",1031,"Alesoun","Dempstar","Alison","Dempster",,,,"Female",,0,0,"Leith","P_ST_33","Edinburgh","Edinburgh",,"NS",,,,"Married","Middling",,,"SMD","05_15_01_11:06:51","LEM","12_06_02_12:18:09"
"A_EGD_1032","EGD",1032,"Issobell","Miller","Isobel","Miller",,,,"Female",,0,0,"Langniddry",,"Haddington","Haddington",,,,,,"Married","Middling",,,"SMD","05_15_01_11:06:51","jhm","10_01_02_12:07:26"
"A_EGD_1033","EGD",1033,"Issobell","Howatsoun","Isobel","Howatson",,,,"Female",,0,0,,,,"Selkirk",,,,,,,,,,"SMD","05_15_01_11:06:51","jhm","10_01_02_12:08:35"
"A_EGD_1034","EGD",1034,"Steven","Malcome","Steven","Malcolm",,,,"Male",,0,0,"Leckie","P_ST_919","Stirling","Stirling",,,,,,,,,"I_am_sure_this_is_the_same_as_Steven_Maltman_from_Leckie_who_was_investigated_for_charming_and_healing_by_the_presbytery_in_1628.","SMD","05_15_01_11:06:51","jhm","10_01_02_12:09:50"
"A_EGD_1035","EGD",1035,"Katharine","Leithame","katherine","Letham",,,,"Female",,0,0,,,,"Selkirk",,,,,,,,,,"SMD","05_15_01_11:06:51","jhm","10_01_02_12:13:57"
"A_EGD_1036","EGD",1036,"Margaret","Muirhead","Margaret","Muirhead",,,,"Female",,0,0,,,"Dalkeith","Edinburgh",,,,,,,"Landless","Vagabond","few_details.","SMD","05_15_01_11:06:51","jhm","10_01_02_12:35:20"
"A_EGD_1037","EGD",1037,"William","Watt","William","Watt",,,,"Male",,0,0,"Westhouses",,"Dalkeith","Edinburgh",,,,,,,,,"few_details.","SMD","05_15_01_11:06:51","jhm","10_01_02_12:37:34"
"A_EGD_1038","EGD",1038,"Malie","Turnour","Malie","Turner",,,,"Female",,0,0,"Stobbhill",,"Dalkeith","Edinburgh",,,,,,,,,"Few_details_about_accused.","SMD","05_15_01_11:06:51","jhm","10_01_02_12:40:28"
"A_EGD_1039","EGD",1039,"Elspeth","Simsoun","Elizabeth","Simpson",,,,"Female",,0,0,"Badarrach","P_ST_991","Tain","Ross",,"NH",605,894,,"Married",,,,"SMD","05_15_01_11:06:51","jhm","10_01_02_12:42:35"
"A_EGD_104","EGD",104,"Archie","Farquhars","Archibald","Farquhar",,,,"Male",,0,0,,,,"Haddington",,,,,,,,,,"SMD","05_15_01_11:06:51","jhm","10_02_02_12:32:47"
"A_EGD_1040","EGD",1040,"Marion_nein","Gillimichaell","Marion","Gilmichael",,"Nein",,"Female",,0,0,,"P_ST_827","Tain","Ross",,,,,,,,,,"SMD","05_15_01_11:06:51","jhm","10_01_02_12:44:44"
"A_EGD_1041","EGD",1041,"Agnes_nein","Donald","Agnes","Donald",,"Nein",,"Female",,0,0,"Bruach","P_ST_392","Tain","Ross",,,,,,,,,,"SMD","05_15_01_11:06:51","jhm","10_01_02_14:22:24"
"A_EGD_1042","EGD",1042,"Helen","Gow","Helen","Gow",,,,"Female",,0,0,,"P_ST_1495","Tain","Ross","Tain","NH",779,820,,"Married","Middling",,"Husband_was_a_cordiner","SMD","05_15_01_11:06:51","jhm","10_01_02_14:23:32"
"A_EGD_1043","EGD",1043,"Janet","Boyd","Janet","Boyd",,,,"Female",,0,0,,"P_ST_769","Dunbarton","Dunbarton","Dumbarton",,,,,"Married","Middling",,"Husband_described_as_a_burgess_of_Dumbarton","SMD","05_15_01_11:06:51","LEM","11_11_02_12:27:36"
"A_EGD_1044","EGD",1044,"William","Dageris","William","Dagger",,,,"Male",,0,0,"Ulstoun",,,"Roxburgh",,,,,,,,,,"SMD","05_15_01_11:06:51","jhm","10_01_02_14:29:17"
"A_EGD_1045","EGD",1045,"Kathrene","Stewart","Katherine","Stewart","Kait_Toshe",,,"Female",,0,0,"Bunjedburgh",,,"Roxburgh",,,,,,,,,,"SMD","05_15_01_11:06:51","jhm","10_01_02_14:30:06"
"A_EGD_1046","EGD",1046,"Margaret","Jo","Margaret","Jo",,,,"Female",,0,0,"Musselburgh","P_ST_967","Dalkeith","Edinburgh",,,,,,,,,,"SMD","05_15_01_11:06:51","jhm","11_13_02_14:06:54"
"A_EGD_1047","EGD",1047,"Margaret","Burges","Margaret","Burgess","Lady_Dalyell",,,"Female",50,0,0,"Nether_Cramond","P_ST_659","Edinburgh","Edinburgh",,,,,,"Married","Middling",,"Record_indicates_that_she_was_50.__She_was_described_as_a_'relict'_to_John_Dalyell_indweller_of_Cramond.__Her_second_husband_was_a_boatman,_which_could_indicate_lower_status,_but_the_JC26_documents_suggest_that_they_were_at_least_middling.__She_rented_land;_people_begged_at_her_house;_they_seem_to_be_in_the_thick_of_community_business_dealings.__Her_nickname_was_Lady_Dalyell_(from_her_first_husband),_this_was_not_a_proper_title.__She_was_also_described_as_a_'marnet'.","SMD","05_15_01_11:06:51","jhm","10_01_02_14:36:01"
"A_EGD_1048","EGD",1048,"Elspeth","Baird","Elizabeth","Baird",,,,"Female",,0,0,,"P_ST_33","Edinburgh","Edinburgh",,"NS",,,,"Widowed","Lower",,"Wyfe_of_Totmuir_-_described_as_a_beggar_(so_I_have_indicated_'lower'_status_here).__She_was_begging_at_Margaret_Burges_house_for_meat,_milk_and_bread_but_Margaret_refused_due_to_her_'evil_brint'.","SMD","05_15_01_11:06:51","jhm","10_01_02_14:42:00"
"A_EGD_1049","EGD",1049,"Bessie","Littil","Elizabeth","Little",,,,"Female",,0,0,"Langniddry",,"Haddington","Haddington",,,,,,,"Middling",,"Indweller,_therefore_middling_stauts","SMD","05_15_01_11:06:51","jhm","10_01_02_14:46:46"
"A_EGD_105","EGD",105,"Jonet","Fairlie","Janet","Fairlie",,,,"Female",,0,0,,,,"Haddington",,,,,,,,,,"SMD","05_15_01_11:06:51","jhm","10_02_02_12:46:49"
"A_EGD_1050","EGD",1050,"Margaret","Baine","Margaret","Bain",,,,"Female",,0,0,"Langniddry",,"Haddington","Haddington",,,,,,,"Middling",,"Indweller,_therefore_middling","SMD","05_15_01_11:06:51","jhm","10_01_02_14:48:29"
"A_EGD_1051","EGD",1051,"John","McReadie","John","MacReadie",,,,"Male",,0,0,"Ranultoun",,,"Berwick",,,,,,,"Middling","Weaver",,"SMD","05_15_01_11:06:51","jhm","11_13_02_14:21:31"
"A_EGD_1052","EGD",1052,"Katherine","Mosse","Katherine","Moss",,,,"Female",,0,0,"Ligertwode",,,"Berwick",,,,,,"Married",,,,"SMD","05_15_01_11:06:51","jhm","10_01_02_14:51:01"
"A_EGD_1053","EGD",1053,"Katherine","Browne","Katherine","Brown",,,,"Female",,0,0,"Lawder","P_ST_1133","Earlston","Berwick",,,,,,,,,,"SMD","05_15_01_11:06:51","jhm","10_01_02_14:52:17"
"A_EGD_1054","EGD",1054,"George","Blyth","George","Blyth",,,,"Male",,0,0,"Ligertwode",,,"Berwick",,,,,,"Married",,,,"SMD","05_15_01_11:06:51","jhm","10_01_02_14:53:00"
"A_EGD_1055","EGD",1055,"Alesoun","Tailyeour","Alison","Taylor",,,,"Female",,0,0,,"P_ST_1333","Haddington","Haddington",,,,,,,,,,"SMD","05_15_01_11:06:51","jhm","10_01_02_14:54:07"
"A_EGD_1056","EGD",1056,"Sara","Keyth","Sarah","Keith",,,,"Female",,0,0,"Wintoun",,"Haddington","Haddington",,,,,,"Married",,,,"SMD","05_15_01_11:06:51","jhm","10_01_02_14:55:40"
"A_EGD_1057","EGD",1057,"Isobel","Thomesone","Isobel","Thomson",,,,"Female",,0,0,"Craikffurde",,,"Berwick",,,,,,,,,"2nd_PC_entrie_has_Craillfurde._Probably_not_the_same_as_Isobel_Thomesoun_(C_LA_2863)_from_Ryslaw.","SMD","05_15_01_11:06:51","jhm","10_01_02_14:58:46"
"A_EGD_1058","EGD",1058,"Marion","Bathcat","Marion","Bathgate",,,,"Female",,0,0,"East_Barns","P_ST_703","Dunbar","Haddington",,"NT",670,780,,,,,,"SMD","05_15_01_11:06:51","jhm","10_01_02_15:16:29"
"A_EGD_1059","EGD",1059,"Margaret","Baxter","Margaret","Baxter",,,,"Female",,0,0,,"P_ST_703","Dunbar","Haddington","Dunbar","NO",665,600,,,,,,"SMD","05_15_01_11:06:51","jhm","10_01_02_15:17:31"
"A_EGD_1060","EGD",1060,"Bessie","Carrilie",,,,,,"Female",,0,0,"Tuinname",,,"Dumfries",,,,,,"Unknown",,,,"SMD","05_15_01_11:06:51","LEM","08_14_01_12:57:24"
"A_EGD_1061","EGD",1061,"Bessie","Carrilie","Elizabeth","Carlisle",,,,"Female",,0,0,,"P_ST_1540","Kirkcudbright","Kirkcudbright",,,,,,,,,,"SMD","05_15_01_11:06:51","jhm","10_01_02_15:18:30"
"A_EGD_1063","EGD",1063,"Marion","Hardie","Marion","Hardie",,,,"Female",,0,0,,"P_ST_804","Duns","Berwick",,,,,,"Married","Upper",,"Listed_in_a_denunciation_of_14_3_1629_as_the_spouse_of_Sir_John_Cristie_(Trinche).","SMD","05_15_01_11:06:51","jhm","10_01_02_15:20:03"
"A_EGD_1064","EGD",1064,"Gradoch","Neinchat","Gradoch","Neinchat","Nein",,,"Female",,0,0,,,,"Ross",,,,,,,,,,"SMD","05_15_01_11:06:51","jhm","10_01_02_15:23:17"
"A_EGD_1065","EGD",1065,"Katherine","Memphersoun","Katherine","Umpherstoun","Naunnchie","Nein",,"Female",,0,0,,,,"Ross",,,,,,,,,,"SMD","05_15_01_11:06:51","jhm","10_01_02_15:24:31"
"A_EGD_1066","EGD",1066,"Marie_nein_eane","Eir","Mary","Eyre","Mintosche","Nein",,"Female",,0,0,,,,"Ross",,,,,,,,,,"SMD","05_15_01_11:06:51","jhm","10_01_02_15:25:21"
"A_EGD_1067","EGD",1067,"Katherine_nein_rob","Aunchtie","Katherine","Aunchtie",,,,"Female",,0,0,,,,"Ross",,,,,,,,,,"SMD","05_15_01_11:06:51","jhm","10_01_02_15:26:22"
"A_EGD_1068","EGD",1068,"Bessie","Make","Elizabeth","Mackie",,,,"Female",,0,0,,"P_ST_1408","Haddington","Haddington",,,,,,,,,,"SMD","05_15_01_11:06:51","jhm","10_01_02_15:37:59"
"A_EGD_1069","EGD",1069,"Agnes","Wallace","Agnes","Wallace",,,,"Female",,0,0,"Ayton",,"Duns","Berwick",,,,,,,,,,"SMD","05_15_01_11:06:51","jhm","10_01_02_15:38:50"
"A_EGD_107","EGD",107,"Ane","Nairn","Anne","Nairn",,,,"Female",,0,0,,,,"Haddington",,,,,,,,,,"SMD","05_15_01_11:06:51","jhm","10_02_02_14:58:20"
"A_EGD_1070","EGD",1070,"Kathrene","Young","Katherine","Young",,,,"Female",,0,0,"Pirne",,,"Peebles",,,,,,"Married",,,,"SMD","05_15_01_11:06:51","jhm","10_01_02_15:39:26"
"A_EGD_1071","EGD",1071,"Marion","Grige","Marion","Greg",,,,"Female",,0,0,"Scottistoun",,,"Peebles",,,,,,"Married",,,,"SMD","05_15_01_11:06:51","LEM","12_06_02_12:11:16"
"A_EGD_1072","EGD",1072,"Isobel","Rutherfurde","Isobel","Rutherford","Grahame",,,"Female",,0,0,,,,"Peebles",,,,,,,"Landless","Vagabond",,"SMD","05_15_01_11:06:51","jhm","10_01_02_15:42:27"
"A_EGD_1073","EGD",1073,"Jonet","Neill","Janet","Neil",,,,"Female",,0,0,,"P_ST_769","Dunbarton","Dunbarton","Dumbarton",,,,,"Married","Middling",,"Husband_was_a_burgess_so_middling_S_E_status.","SMD","05_15_01_11:06:51","LEM","11_11_02_12:27:53"
"A_EGD_1074","EGD",1074,"Bessie","Meyne","Elizabeth","Main",,,,"Female",,0,0,,"P_ST_1421","Selkirk","Selkirk",,,,,,,,,,"SMD","05_15_01_11:06:51","jhm","10_01_02_15:46:22"
"A_EGD_1075","EGD",1075,"Janet","Minto","Janet","Minto",,,,"Female",,0,0,,"P_ST_1421","Selkirk","Selkirk",,,,,,,,,,"SMD","05_15_01_11:06:51","jhm","10_01_02_15:47:18"
"A_EGD_1076","EGD",1076,"Janet","Hendersoun","Janet","Henderson",,,,"Female",,0,0,,"P_ST_1157","Selkirk","Selkirk",,,,,,,,,,"SMD","05_15_01_11:06:51","jhm","10_01_02_15:47:59"
"A_EGD_1077","EGD",1077,"Bessie","Cumroy","Elizabeth","Cumray",,,,"Female",,0,0,,"P_ST_564","Selkirk","Selkirk",,,,,,,,,,"SMD","05_15_01_11:06:51","jhm","10_01_02_15:49:12"
"A_EGD_1078","EGD",1078,"Isobel","Wright","Isobel","Wright",,,,"Female",,0,0,,"P_ST_1232","Selkirk","Selkirk",,,,,,,,,,"SMD","05_15_01_11:06:51","jhm","10_01_02_15:50:47"
"A_EGD_1079","EGD",1079,"Margaret","Hunter","Margaret","Hunter",,,,"Female",,0,0,,"P_ST_769","Dunbarton","Dunbarton","Dumbarton",,,,,"Married",,,,"SMD","05_15_01_11:06:51","LEM","11_11_02_12:28:07"
"A_EGD_108","EGD",108,"Marion","Ranking","Marion","Rankin",,,,"Female",,0,0,,,,"Haddington",,,,,,,,,,"SMD","05_15_01_11:06:51","jhm","10_02_02_15:09:40"
"A_EGD_1080","EGD",1080,"Janet","Donald","Janet","Donald",,,,"Female",,0,0,,"P_ST_769","Dunbarton","Dunbarton","Dumbarton",,,,,"Married","Middling",,"Husband_a_burgess,_S_E_status_as_middling.","SMD","05_15_01_11:06:51","LEM","11_11_02_12:28:18"
"A_EGD_1081","EGD",1081,"Janet","Melros","Janet","Melrose",,,,"Female",,0,0,"Chattill",,,,,,,,,,"Lower","Midwife",,"SMD","05_15_01_11:06:51","jhm","10_01_02_15:55:35"
"A_EGD_1082","EGD",1082,"Alexander","Drummond","Alexander","Drummond",,,,"Male",75,1,0,,"P_ST_481","Auchterarder","Perth",,,,,,,"Middling",,"Indweller;_reputation_for_50_years.__His_son_was_questioned_and_gave_vague_answers.","SMD","05_15_01_11:06:51","jhm","10_01_02_15:56:18"
"A_EGD_1083","EGD",1083,"Isobel","Gray","Isobel","Gray",,,,"Female",,0,0,,"P_ST_1169","Lanark","Lanark","Lanark","NS",,,,,"Landless","Vagabond",,"SMD","05_15_01_11:06:51","jhm","10_02_02_09:33:00"
"A_EGD_1084","EGD",1084,"Alexander","Hunter","Alexander","Hunter",,,,"Male",,0,0,,,,"Haddington",,,,,,,"Landless","Vagabond",,"SMD","05_15_01_11:06:51","jhm","10_02_02_09:58:29"
"A_EGD_1085","EGD",1085,"Janet","Widdrow","Janet","Woodrow",,,,"Female",,0,0,"Innerkip","P_ST_971","Greenock","Renfrew",,,,,,,,,,"SMD","05_15_01_11:06:51","jhm","10_02_02_10:00:22"
"A_EGD_1086","EGD",1086,"Margaret","Wallace","Margaret","Wallace",,,,"Female",,0,0,,"P_ST_1153","Duns","Berwick",,,,,,,,,,"SMD","05_15_01_11:06:51","jhm","10_02_02_10:01:14"
"A_EGD_1087","EGD",1087,"Jean","Cleilland","Jean","Cleland",,,,"Female",,0,0,"corhous_mill",,,"Lanark",,,,,,,"Middling",,"Assume_she_was_the_wife_or_proprietor_of_a_mill,_because_she_lived_at_Corhous_mill.","SMD","05_15_01_11:06:51","jhm","10_02_02_10:02:52"
"A_EGD_1088","EGD",1088,"Margaret","Haistie","Margaret","Hastie",,,,"Female",,0,0,"Welgait_of_Lanark","P_ST_1169","Lanark","Lanark","Lanark","NS",,,,"Widowed","Lower",,,"SMD","05_15_01_11:06:51","jhm","10_02_02_10:18:05"
"A_EGD_1089","EGD",1089,"James","Frame","James","Frame",,,,"Male",,0,0,,"P_ST_1169","Lanark","Lanark","Lanark","NS",,,,,,,,"SMD","05_15_01_11:06:51","jhm","10_02_02_14:27:28"
"A_EGD_109","EGD",109,"Bessie","Thompson","Elizabeth","Thomson",,,,"Female",,0,0,,,,"Haddington",,,,,,"Single",,,,"SMD","05_15_01_11:06:51","jhm","10_02_02_15:21:15"
"A_EGD_1090","EGD",1090,"Margaret","Wilson","Margaret","Wilson",,,,"Female",,0,0,,"P_ST_1169","Lanark","Lanark","Lanark","NS",,,,"Married",,,,"SMD","05_15_01_11:06:51","jhm","10_02_02_10:21:24"
"A_EGD_1091","EGD",1091,"Margaret","Hutchesoun","Margaret","Hutcheson",,,,"Female",,0,0,"Kirkbanke",,,"Lanark",,,,,,"Married",,,,"SMD","05_15_01_11:06:51","jhm","10_02_02_10:23:19"
"A_EGD_1092","EGD",1092,"Janet","Weir","Janet","Weir",,,,"Female",,0,0,"Baruch",,,"Lanark",,,,,,"Married",,,,"SMD","05_15_01_11:06:51","jhm","10_02_02_10:24:28"
"A_EGD_1093","EGD",1093,"Marion","Schailer","Marion","Schailer",,,,"Female",,0,0,"Law",,,"Lanark",,,,,,,,,,"SMD","05_15_01_11:06:51","jhm","10_02_02_10:25:47"
"A_EGD_1094","EGD",1094,"Jonet","Scot","Janet","Scott",,,,"Female",,0,0,"wicketshaw",,,"Lanark",,,,,,,,,,"SMD","05_15_01_11:06:51","jhm","10_02_02_10:26:52"
"A_EGD_1095","EGD",1095,"Margaret","Semphill","Margaret","Semple",,,,"Female",,0,0,"Strafranke",,,"Lanark",,,,,,,,,,"SMD","05_15_01_11:06:51","jhm","10_02_02_10:28:04"
"A_EGD_1096","EGD",1096,"Janet","Clerksoun","Janet","Clarkson",,,,"Female",,0,0,"cauldlaw",,,"Lanark",,,,,,,,,,"SMD","05_15_01_11:06:51","jhm","10_02_02_10:29:12"
"A_EGD_1097","EGD",1097,"John","Greinscheills","John","Greenshields",,,,"Male",,0,0,"Dundraven",,,"Lanark",,,,,,,,,,"SMD","05_15_01_11:06:51","jhm","10_02_02_10:30:31"
"A_EGD_1098","EGD",1098,"Margrat","Fischer","Margaret","Fisher",,,,"Female",,0,0,"Stanebyres_mylne",,,"Lanark",,,,,,,"Middling",,"She_lives_at_the_Mill,_so_we_thinks_she_was_a_miller's_wife.","SMD","05_15_01_11:06:51","jhm","10_02_02_10:36:49"
"A_EGD_1099","EGD",1099,"Beatrix","Crichtoun","Beatrice","Chrichton",,,,"Female",,0,0,"Kirktown","P_ST_716","Lanark","Lanark",,,,,,,,,,"SMD","05_15_01_11:06:51","jhm","10_02_02_10:38:50"
"A_EGD_11","EGD",11,"Margaret","Bartilman","Margaret","Bartleman",,,,"Female",,0,0,"Sammuelston","P_JO_3539","Haddington","Haddington",,,,,,,,,,"SMD","05_15_01_11:06:51","jhm","09_26_02_15:27:09"
